anio,cantidad
1970.0,29872648.76304982
1971.0,29329191.375073418
1972.0,29626648.246096708
1973.0,30113498.746830367
1974.0,29963749.206429295
1975.0,30705294.291759685
1976.0,30842344.806537308
1977.0,31296736.487620324
1978.0,31129144.973313857
1979.0,31625310.728266153
1980.0,31970016.198904548
1981.0,31430332.552103966
1982.0,31976547.84488084
1983.0,31913873.069726538
1984.0,31487628.954301804
1985.0,31350541.763692543
1986.0,31581331.097261317
1987.0,32087422.1123021
1988.0,31654794.42441903
1989.0,32356126.2524912
1990.0,33352982.18568431
1991.0,32477546.082384415
1992.0,33482976.507281978
1993.0,31953316.186033197
1994.0,32162101.597064838
1995.0,32460312.536606196
1996.0,32017450.00350292
1997.0,31787330.609654445
1998.0,31896556.39041575
1999.0,31798289.105847903
2000.0,31448747.16596117
2001.0,31651712.876188986
2002.0,31734738.58426846
2003.0,31950503.243319526
2004.0,32642157.744728975
2005.0,33403951.663447425
2006.0,34858831.92357284
2007.0,37337052.10326597
2008.0,36258063.3491617
