año,cantidad
1960.0,0.0
1961.0,0.0
1962.0,0.0
1963.0,0.0
1964.0,0.0
1965.0,0.0
1966.0,0.0
1967.0,0.0
1968.0,0.0
1969.0,0.0
1970.0,0.0
1971.0,0.0
1972.0,0.0
1973.0,0.0
1974.0,0.0
1975.0,0.0
1976.0,0.0
1977.0,0.0
1978.0,0.0
1979.0,0.0
1980.0,0.5148901653592486
1981.0,0.9405488397861611
1982.0,1.7388606583406678
1983.0,2.629171899348956
1984.0,4.014106071259946
1985.0,6.39861748536539
1986.0,11.471755182275771
1987.0,17.886757690173084
1988.0,26.43982031004878
1989.0,40.943526391150066
1990.0,61.17502751566407
1991.0,90.26012147817062
1992.0,128.53701576752445
1993.0,186.23816861176383
1994.0,294.0189502365957
1995.0,474.55204998681546
1996.0,717.6532008129417
1997.0,1074.1124671344028
1998.0,1637.1386191483143
1999.0,2542.6928745432897
2000.0,3782.705349197968
2001.0,5005.097121298031
2002.0,6125.33256110887
2003.0,7421.592974048877
2004.0,9083.281998997223
2005.0,10885.55267509699
2006.0,13088.773405387426
2007.0,15800.366338118021
2008.0,18009.627408755638
2009.0,20130.279696257927
2010.0,21994.870626240096
2011.0,23150.898371714244
2012.0,24724.86515827892
2013.0,25300.276584478095
2014.0,25957.90461543818
2015.0,26557.249446567424
2016.0,26263.046414301967
2017.0,26544.416493265213
2018.0,24849.60747328374
2019.0,16209.380705399999
